# AWS RDS DB instance-class catalogue — instance capacity source for synthkit RDS construct.
# Enumerated: aws rds describe-orderable-db-instance-options --engine postgres --region eu-west-1
#             aws rds describe-orderable-db-instance-options --engine mysql --region eu-west-1
#             (both engines return the same class list; deduplicated union used here)
# Date: 2026-06-14   Account: 515966537543 (eu-west-1)
# Spec source: https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.DBInstanceClass.Summary.html
#              vCPU/memoryGiB confirmed against EC2 family specs (same underlying hardware).
#              NVMe-d/-id/-idn/-in variants share CPU+RAM with their base class; same figures used.
# burstableBaselinePct: per-vCPU baseline CPU % for t-family burstable instances.
#   Source: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/burstable-credits-baseline-concepts.html
#   Formula: credits_per_hour / (vCPU * 60). Confirmed anchors: t3.nano=5%, t3.large=30%.
#   t3 and t4g share the same baseline schedule.
# class,vCPU,memoryGiB,burstableBaselinePct
#
# --- Burstable: db.t3 ---
db.r6id.32xlarge,128,1024,0
#
# --- Memory Optimized: db.r6idn (NVMe-SSD + enhanced networking; same CPU/RAM as r6i) ---
db.r6idn.large,2,16,0
db.r6idn.xlarge,4,32,0
db.r6idn.2xlarge,8,64,0
db.r6idn.4xlarge,16,128,0
db.r6idn.8xlarge,32,256,0
db.r6idn.12xlarge,48,384,0
db.r6idn.16xlarge,64,512,0
db.r6idn.24xlarge,96,768,0
db.r6idn.32xlarge,128,1024,0
#
# --- Memory Optimized: db.r6in (enhanced networking; same CPU/RAM as r6i) ---
db.r6in.large,2,16,0
db.r6in.xlarge,4,32,0
db.r6in.2xlarge,8,64,0
db.r6in.4xlarge,16,128,0
db.r6in.8xlarge,32,256,0
db.r6in.12xlarge,48,384,0
db.r6in.16xlarge,64,512,0
db.r6in.24xlarge,96,768,0
db.r6in.32xlarge,128,1024,0
#
# --- Memory Optimized: db.r7g (Graviton3) ---
db.r7g.large,2,16,0
db.r7g.xlarge,4,32,0
db.r7g.2xlarge,8,64,0
db.r7g.4xlarge,16,128,0
db.r7g.8xlarge,32,256,0
db.r7g.12xlarge,48,384,0
db.r7g.16xlarge,64,512,0
#
# --- Memory Optimized: db.r7i (4th Gen Intel Xeon Scalable, Sapphire Rapids) ---
db.r7i.large,2,16,0
db.r7i.xlarge,4,32,0
db.r7i.2xlarge,8,64,0
db.r7i.4xlarge,16,128,0
db.r7i.8xlarge,32,256,0
db.r7i.12xlarge,48,384,0
db.r7i.16xlarge,64,512,0
db.r7i.24xlarge,96,768,0
db.r7i.48xlarge,192,1536,0
#
# --- Memory Optimized: db.r8g (Graviton4) ---
db.r8g.large,2,16,0
db.r8g.xlarge,4,32,0
db.r8g.2xlarge,8,64,0
db.r8g.4xlarge,16,128,0
db.r8g.8xlarge,32,256,0
db.r8g.12xlarge,48,384,0
db.r8g.16xlarge,64,512,0
db.r8g.24xlarge,96,768,0
db.r8g.48xlarge,192,1536,0
#
# --- Extra Memory: db.x2g (Graviton2, 16 GiB/vCPU) ---
db.x2g.large,2,32,0
db.x2g.xlarge,4,64,0
db.x2g.2xlarge,8,128,0
db.x2g.4xlarge,16,256,0
db.x2g.8xlarge,32,512,0
db.x2g.12xlarge,48,768,0
db.x2g.16xlarge,64,1024,0
#
# --- Extra Memory: db.x2idn (Intel Ice Lake NVMe; 32 GiB/vCPU) ---
db.x2idn.16xlarge,64,2048,0
db.x2idn.24xlarge,96,3072,0
db.x2idn.32xlarge,128,4096,0
#
# --- Extra Memory: db.x2iedn (Intel Ice Lake NVMe enhanced; 32 GiB/vCPU) ---
db.x2iedn.xlarge,4,128,0
db.x2iedn.2xlarge,8,256,0
db.x2iedn.4xlarge,16,512,0
db.x2iedn.8xlarge,32,1024,0
db.x2iedn.16xlarge,64,2048,0
db.x2iedn.24xlarge,96,3072,0
db.x2iedn.32xlarge,128,4096,0
